,depth_10_count,depth_1_count,depth_2_count,depth_3_count,depth_4_count,depth_5_count,depth_6_count,depth_7_count,depth_8_count,depth_9_count,total_go_terms
CASP10,0,0,1,0,0,0,0,0,0,0,1
CASP9,0,0,1,0,0,2,0,0,0,0,3
CASP8,0,1,1,0,0,1,1,0,0,0,4
CASP7,0,0,2,1,0,1,0,0,0,0,4
CHUK,0,0,1,0,1,1,0,1,0,0,4
PRKAR2B,0,0,4,2,0,0,2,1,0,0,9
TNF,0,0,4,2,1,0,0,0,1,0,8
TNFSF10,0,0,2,1,0,0,1,0,0,0,4
BIRC3,0,0,1,0,0,1,0,0,0,0,2
POLE3,0,0,0,0,1,1,1,0,1,0,4
CASP3,0,0,1,0,1,1,0,0,0,0,3
ASK1,0,1,1,2,0,1,0,0,0,0,5
DAXX,0,0,0,1,0,2,0,0,0,0,3
MAPK8,0,0,1,0,0,2,1,0,0,0,4
NDUFB8 ,0,0,0,0,0,2,0,0,0,0,2
NDUFB9,0,0,0,0,0,1,0,0,0,0,1
NUP85,0,0,1,2,2,1,0,0,0,0,6
NUP107,0,0,1,1,1,0,0,0,0,0,3
ACTB,0,0,5,3,2,14,3,0,0,0,27
ACTG1,0,0,3,2,1,3,2,0,0,1,12
TUBB,0,0,3,0,1,1,2,0,0,0,7
TUBA1A,0,0,1,1,0,1,2,0,0,0,5
COX1,0,0,1,0,2,0,1,0,0,0,4
COX2,0,0,2,0,3,5,1,0,0,0,11
ATP5F1A,0,0,1,1,1,2,1,0,0,0,6
ATP5F1B,0,0,1,1,1,4,1,0,0,0,8
HIST1H1A,0,0,0,0,0,1,0,0,0,0,1
CD19,0,0,0,2,1,0,1,0,0,0,4
PIK3CB,0,0,1,1,1,2,0,1,0,0,6
SGOL1,0,0,0,1,0,0,0,0,0,0,1
PRKACA,0,0,4,2,2,4,3,0,0,0,15
IFITM1,0,0,1,1,0,1,0,1,0,0,4
ENO3,0,0,2,2,0,0,1,0,0,0,5
MAP2K1,0,0,0,2,1,3,0,0,0,0,6
PLCG2,0,0,2,1,1,2,1,0,0,0,7
ADCY9,0,0,1,1,0,0,0,0,0,0,2
PPP2R5D,0,0,0,0,0,2,0,0,0,0,2
MAD2L1,0,0,4,1,0,1,0,0,0,0,6
NME1,0,0,2,0,0,2,1,0,0,0,5
ADCY3,0,0,2,1,0,2,0,0,0,0,5
EXOG,0,0,0,0,0,2,0,0,0,0,2
IGF1R,0,0,1,1,1,1,1,0,0,0,5
POLA1,0,0,0,0,0,1,0,0,0,0,1
PIK3CG,0,0,2,1,0,0,0,1,0,0,4
POLR2B,0,0,1,0,0,2,0,0,0,0,3
RPS6KA2,0,0,1,1,0,1,0,0,0,0,3
CYCS,0,0,2,0,0,3,1,0,0,0,6
NRAS,0,0,1,1,1,2,1,1,0,0,7
DCP1A,0,0,2,0,0,1,1,0,0,0,4
POLE4,0,0,0,0,0,1,0,0,1,0,2
ITPA,0,0,1,0,1,0,0,0,0,0,2
BIRC2,0,0,1,0,1,2,0,0,0,0,4
CALML3,0,0,2,1,0,0,1,0,0,0,4
PPP3R1,0,0,1,0,2,0,0,0,0,0,3
PIK3CA,0,0,2,1,0,1,1,1,0,0,6
IL3,0,0,2,0,0,0,0,0,0,0,2
NT5M,0,0,0,0,0,1,0,0,0,0,1
PAPOLG,0,0,1,0,0,1,0,0,0,0,2
AMPD1,0,0,1,0,0,0,0,0,0,0,1
GART,0,0,0,0,0,0,1,0,0,0,1
YWHAB,0,0,3,0,0,2,1,0,1,0,7
ADCY2,0,0,2,1,1,0,0,0,0,0,4
INS,0,0,2,0,0,4,0,0,0,0,6
EXOSC8,0,0,1,0,1,4,1,0,0,0,7
ADCY1,0,0,2,1,1,1,2,0,0,0,7
POLE,0,0,0,1,0,1,0,0,0,0,2
CALML6,0,0,1,0,0,1,0,0,0,0,2
CCNB1,0,0,5,1,0,2,0,0,1,0,9
CANT1,0,0,2,1,2,1,1,0,0,0,7
IRAK3,0,0,1,1,0,1,0,0,0,0,3
PRIM1,0,0,1,0,0,0,0,0,0,0,1
PIK3R2,0,0,0,0,0,1,0,1,0,0,2
CALM2,0,1,5,2,0,1,1,0,0,0,10
EXOSC4,0,0,1,0,1,4,1,0,0,0,7
FADD,0,0,2,1,1,0,0,0,0,0,4
BAX,0,0,2,2,2,2,2,0,0,0,10
PDE9A,0,0,1,1,0,3,0,0,0,0,5
PPP3CB,0,0,1,1,1,0,0,0,0,0,3
RPS6KA1,0,0,1,1,0,0,0,0,0,0,2
DGUOK,0,0,1,0,0,2,0,0,0,0,3
PAPSS2,0,0,0,0,0,1,0,0,0,0,1
RIPK1,0,0,2,1,1,1,1,0,0,0,6
TP53,0,1,3,2,0,3,1,0,0,0,10
MOS,0,0,1,0,0,0,0,0,0,0,1
GUCY1B3,0,0,0,0,0,1,0,0,0,0,1
NFKBIB,0,0,0,0,0,1,0,0,0,0,1
AK2,0,0,2,0,0,0,2,0,0,0,4
HSPD1,0,0,4,3,1,2,1,1,2,0,14
AKT3,0,0,0,1,0,1,0,0,0,0,2
LSM4,0,1,2,0,0,3,0,1,0,0,7
CCNE1,0,0,2,0,0,1,0,0,1,0,4
ENO1,0,0,6,3,0,1,2,0,0,0,12
ZCCHC7,0,0,0,1,0,0,0,0,0,0,1
IMPDH2,0,0,3,0,0,1,1,1,0,0,6
PPP2R1B,0,0,2,0,1,2,1,0,0,0,6
APAF1,0,0,1,0,0,1,1,0,0,0,3
PDE2A,0,0,2,1,1,6,1,0,0,0,11
TNFRSF10A,0,0,0,1,1,2,0,0,0,0,4
APRT,0,0,2,0,0,0,1,0,0,0,3
BTRC,0,0,1,0,0,0,0,0,0,0,1
ADSS,0,0,1,0,0,0,1,0,0,0,2
FHIT,0,0,1,1,0,1,0,0,0,0,3
HSPA9,0,0,1,0,1,4,1,0,0,0,7
PTTG1,0,0,2,0,0,1,0,0,0,0,3
ENTPD8,0,0,0,1,0,0,0,0,0,0,1
ANAPC7,0,0,1,0,1,1,0,0,0,0,3
FASLG,0,0,3,2,0,2,2,0,0,0,9
RPS6KA6,0,0,2,0,0,0,0,0,0,0,2
PIK3CD,0,0,1,1,0,1,0,1,0,0,4
CNOT6,0,0,1,0,0,1,0,0,0,0,2
ADCY5,0,0,1,1,0,0,0,0,0,0,2
MAP2K2,0,0,2,0,1,3,0,1,0,0,7
NPR1,0,0,0,2,0,0,0,0,0,0,2
LSM5,0,0,1,1,0,2,0,0,0,0,4
VAV1,0,0,1,1,0,0,0,0,0,0,2
FBXO43,0,0,0,0,0,1,0,0,0,0,1
POLR2G,0,0,0,0,0,1,0,1,0,0,2
POLR3GL,0,0,0,0,0,1,0,0,0,0,1
POLR2I,0,0,0,0,0,2,0,0,0,0,2
LYN,0,0,3,1,3,3,2,1,0,0,13
POLR2J,0,0,0,0,0,1,0,0,0,0,1
CNOT3,0,0,0,1,0,1,0,0,0,0,2
SF3B3,0,0,0,1,0,2,0,0,1,0,4
MRPL13,0,0,0,0,0,2,1,1,0,0,4
RPA1,0,0,0,1,0,1,0,0,0,0,2
UBL5,0,0,1,0,0,1,0,1,0,0,3
CSNK2B,0,0,2,0,0,1,1,1,0,0,5
PAPD7,0,0,0,1,1,3,0,0,0,0,5
NPR2,0,0,1,2,0,1,0,0,0,0,4
CD72,0,0,0,1,0,0,0,0,0,0,1
POLD2,0,0,0,0,0,1,0,0,0,0,1
