Gene,GO:0032991
CASP8,1
ASK1,1
CALM2,1
TP53,1
LSM4,1
DFFA,1
AHR,1
SMAD2,1
GGA1,1
GTF2F1,1
MDM2,1
LAPTM5,1
TRPS1,1
RPF1,1
ZFYVE9,1
CXCR4,1
NEDD4,1
RAD23A,1
GGA3,1
OCLN,1
BCL2,1
CRK,1
CD69,1
ARF1,1
TJP1,1
CAD,1
PECAM1,1
PARP1,1
RCC1,1
HIF1A,1
CHEK1,1
CDKN2A,1
PSEN1,1
RAN,1
MBP,1
ABL1,1
ATG5,1
NPR3,1
PRKDC,1
MAP3K5,1
NPM1,1
PYCARD,1
CD74,1
CALM3,1
CALM1,1
ITGB3,1
P4HB,1
AICDA,1
NOS1,1
RNF220,1
SNTA1,1
ATP2B4,1
CD9,1
TAF4,1
CARD9,1
TBP,1
XRCC5,1
NCOA2,1
NCOA1,1
PPIB,1
ATP2B2,1
RABEP1,1
SLC41A1,1
FKBP8,1
ZC3H18,1
GPX4,1
NPPA,1
RPL11,1
TECPR1,1
F11R,1
RPL23,1
RPH3A,1
DNAJC19,1
PAM16,1
PCP4,1
NR4A2,1
HYPK,1
TAF6,1
XRCC6,1
RPL10,1
RPL5,1
CGNL1,1
PADI4,1
ZBTB17,1
NPPB,1
ZC4H2,1
CITED2,1
NUFIP1,1
IKZF4,1
ATG12,1
NPPC,1
ESAM,1
FAM86B1,1
IKZF5,1
DFFB,1
